"Date","AAPL","ADBE","ADP","AMD","DELL","GTW","HP","IBM","MSFT","ORCL"
1/3/1994,0.048913361,0.135255005,-0.022895763,0.0623109,-0.012589127,0.08923582,-0.00433215,0,0.023481096,0.04910878
2/1/1994,0.048848568,-0.014934233,-0.009507324,0.020684599,0.05958569,-0.002166062,-0.014385591,-0.026849988,-0.013542573,0.01079048
3/1/1994,-0.040760913,-0.078928087,0.000872954,0.162272565,0,-0.071433468,-0.007948095,0.014168956,0.011633584,-0.01079048
4/4/1994,-0.044394486,0.041944521,0.002174739,-0.073436234,-0.05958569,-0.117886057,0.002285766,0.022294267,0.038425824,-0.031135409
5/2/1994,-0.009571616,0.031889144,0.015763276,0.010088973,0.121733597,-0.018288786,0.003406249,0.041423553,0.064940807,0.057624989
6/1/1994,-0.042543456,-0.022343827,-0.000837598,-0.033423755,-0.040428657,-0.126498144,0.006733383,-0.030360262,-0.016912719,0.039285024
7/1/1994,0.103924521,0.056810193,-0.013626043,0.033423755,0.03066882,0.100023248,0.02171925,0.022574208,-0.001570687,0.009290076
8/1/1994,0.032859345,0.009365203,0.021518747,0.031034234,0.0641175,0.022958322,-0.017287635,0.045883173,0.053245512,0.047820651
9/1/1994,-0.031286762,0.011429462,0.018140226,0.011234929,0.055857817,0.101359551,0.02568006,0.007011687,-0.015588098,0.002053406
10/3/1994,0.107863536,0.044967146,0.015892959,-0.052358136,0.081670046,0.099511699,0.045341699,0.029313568,0.050350205,0.029689996
11/1/1994,-0.062681998,-0.038251118,-0.019063006,-0.019185441,-0.019023237,-0.02991029,-0.04326869,-0.020773408,-0.001286799,-0.04639569
12/1/1994,0.019817404,-0.044402052,0.02134078,-0.006238975,-0.019894829,-0.004790061,-0.038918066,0.016592442,-0.011756057,0.028826326
1/3/1995,0.015053507,-0.011216263,0.005268802,0.072201415,0.019894829,-0.015526762,-0.002267861,-0.008484655,-0.013446724,-0.014174038
2/1/1995,-0.008347849,0.091830487,0.017234715,0.014535978,-0.013161446,-0.055857817,0.013432859,0.020142529,0.02648958,0.04120553
3/1/1995,-0.049271259,0.142463082,0.01065371,0.047355632,0.019595556,0.009360157,0.0183456,0.037916351,0.052008275,-0.001876005
